,日期,天气状况,气温
0,2021年02月01日,"晴,/晴","8℃,/,-7℃"
1,2021年02月02日,"晴,/晴","6℃,/,-4℃"
2,2021年02月03日,"晴,/晴","11℃,/,-3℃"
3,2021年02月04日,"晴,/多云","10℃,/,-1℃"
4,2021年02月05日,"晴,/晴","18℃,/,3℃"
5,2021年02月06日,"晴,/晴","17℃,/,0℃"
6,2021年02月07日,"晴,/晴","6℃,/,-2℃"
7,2021年02月08日,"晴,/多云","8℃,/,-1℃"
8,2021年02月09日,"晴,/晴","11℃,/,-2℃"
9,2021年02月10日,"晴,/晴","16℃,/,1℃"
10,2021年02月11日,"多云,/晴","16℃,/,2℃"
11,2021年02月12日,"多云,/多云","14℃,/,3℃"
12,2021年02月13日,"阴,/阴","12℃,/,3℃"
13,2021年02月14日,"小雨,/阴","9℃,/,0℃"
14,2021年02月15日,"晴,/晴","8℃,/,-1℃"
15,2021年02月16日,"晴,/晴","8℃,/,-6℃"
16,2021年02月17日,"晴,/晴","6℃,/,-4℃"
17,2021年02月18日,"晴,/晴","12℃,/,-1℃"
18,2021年02月19日,"晴,/晴","22℃,/,6℃"
19,2021年02月20日,"多云,/晴","25℃,/,12℃"
20,2021年02月21日,"多云,/晴","27℃,/,6℃"
21,2021年02月22日,"晴,/多云","12℃,/,3℃"
22,2021年02月23日,"多云,/多云","7℃,/,-1℃"
23,2021年02月24日,"雨夹雪,/中雪","6℃,/,-2℃"
24,2021年02月25日,"阴,/多云","10℃,/,-1℃"
25,2021年02月26日,"多云,/晴","11℃,/,0℃"
26,2021年02月27日,"多云,/小雨","13℃,/,1℃"
27,2021年02月28日,"小雨,/中雨","7℃,/,1℃"
